currency_pairs,B_Pearson_data,B_Spearman_data,B_Kendall_data,B_Pearson_mean,B_Spearman_mean,B_Kendall_mean,B_Pearson_std,B_Spearman_std,B_Kendall_std,X_Pearson_data,X_Spearman_data,X_Kendall_data,X_Pearson_mean,X_Spearman_mean,X_Kendall_mean,X_Pearson_std,X_Spearman_std,X_Kendall_std,V_Pearson_data,V_Spearman_data,V_Kendall_data,V_Pearson_mean,V_Spearman_mean,V_Kendall_mean,V_Pearson_std,V_Spearman_std,V_Kendall_std,XV_Pearson_data,XV_Spearman_data,XV_Kendall_data,XV_Pearson_mean,XV_Spearman_mean,XV_Kendall_mean,XV_Pearson_std,XV_Spearman_std,XV_Kendall_std
EURUSD/GBPUSD,0.618645669751328,0.6172838737296302,0.4446386065449139,0.4824438247375909,0.5325941928876863,0.3751754670124991,0.0093822065706865,0.0075575957171898,0.005755996142389,0.618645669751328,0.6172838737296302,0.4446386065449139,0.5587629536286921,0.588998248225544,0.4169653998843677,0.0083968468010895,0.0080417482373602,0.0062179782445854,0.618645669751328,0.6172838737296302,0.4446386065449139,0.4804457054141861,0.535697658472283,0.3764023138409736,0.0100297970327942,0.007948084942382,0.0059282605993148,0.618645669751328,0.6172838737296302,0.4446386065449139,0.5409235261915516,0.5929663026766763,0.4219711471165415,0.0088520348319305,0.0068743006185409,0.0054345730215764
EURUSD/USDCAD,-0.4438066537558562,-0.4117530950860286,-0.2868855148045376,-0.3310496039167827,-0.3436067911740813,-0.2351370098040709,0.0102211459555161,0.0098001827119958,0.0068667190602503,-0.4438066537558562,-0.4117530950860286,-0.2868855148045376,-0.3948786881919401,-0.3897774679429198,-0.2676025597556095,0.009812045992111,0.0094649841735198,0.0067409075490558,-0.4438066537558562,-0.4117530950860286,-0.2868855148045376,-0.3389677055796678,-0.3596204673789429,-0.2452848639492642,0.0090209162885925,0.0087304345406342,0.00612112646868,-0.4438066537558562,-0.4117530950860286,-0.2868855148045376,-0.3852506503092886,-0.3810965092836432,-0.2612114113121467,0.0089580831373241,0.0089030290271207,0.0062877072341542
EURUSD/USDJPY,-0.2558862196462821,-0.3031770986979536,-0.2121239865817034,-0.2071644563942627,-0.2455015459047381,-0.1683418936507129,0.0110716931456947,0.0098249767258327,0.0067941431000957,-0.2558862196462821,-0.3031770986979536,-0.2121239865817034,-0.2449815438611176,-0.2879026801738822,-0.1948924898311406,0.0101208763228582,0.0088196844973915,0.0060540970048006,-0.2558862196462821,-0.3031770986979536,-0.2121239865817034,-0.1987129127325109,-0.2332562801133668,-0.1598203568927884,0.0124501442062262,0.0099592436776208,0.0068582834376442,-0.2558862196462821,-0.3031770986979536,-0.2121239865817034,-0.2242239154380675,-0.271133677375654,-0.1861370403046141,0.0102135614389828,0.0095826638107426,0.0066118029680124
GBPUSD/USDCAD,-0.4239226261425816,-0.3736733260943767,-0.2583032570629942,-0.3083068256203282,-0.3271866491039134,-0.2223549426839583,0.0109922660347468,0.0098199298720052,0.0068744631049195,-0.4239226261425816,-0.3736733260943767,-0.2583032570629942,-0.3609231824280652,-0.3527180145321399,-0.2409211505272,0.0108982954793702,0.0099052554478333,0.0069588515698264,-0.4239226261425816,-0.3736733260943767,-0.2583032570629942,-0.3024479574970375,-0.3250879981447622,-0.2209897800690647,0.0099896002973311,0.0100283125269471,0.0069393336028947,-0.4239226261425816,-0.3736733260943767,-0.2583032570629942,-0.3604257484328304,-0.3562061170497124,-0.2438486954952954,0.0093362207440083,0.0093023303373932,0.0065660001262921
GBPUSD/USDJPY,-0.1387212299458153,-0.207959262557031,-0.145095881404543,-0.1485018028248428,-0.1841919954714614,-0.1253215420722224,0.0098447697155088,0.0088608703565354,0.0060484035630771,-0.1387212299458153,-0.207959262557031,-0.145095881404543,-0.1618671990111228,-0.1959406161380352,-0.131947841802257,0.0099146363016324,0.0095675819610532,0.0064476226901331,-0.1387212299458153,-0.207959262557031,-0.145095881404543,-0.1367074397837261,-0.1747337321055852,-0.118952328267368,0.0120894083232401,0.0102246874333493,0.006975572018052,-0.1387212299458153,-0.207959262557031,-0.145095881404543,-0.1558563001715039,-0.1973636469679341,-0.134505042151534,0.0097992898267256,0.0090607559194393,0.0061609305247503
USDCAD/USDJPY,0.0021895237160418,0.0608836589470349,0.0424766969126123,0.0584834980768677,0.074288221534169,0.0500518352619129,0.0111093781600395,0.0103678361868507,0.0070107802508434,0.0021895237160418,0.0608836589470349,0.0424766969126123,0.04715028208077,0.0687126983839372,0.0463943129835065,0.0122257290882968,0.011210306098562,0.0075300420749517,0.0021895237160418,0.0608836589470349,0.0424766969126123,0.0534006185045645,0.0708397501199284,0.0478050795624714,0.0109108237268928,0.0087386547031589,0.005860332891623,0.0021895237160418,0.0608836589470349,0.0424766969126123,0.0500736157707402,0.070927349367676,0.0481425908817242,0.010196980689398,0.009561978838753,0.0064856890374712
